subLink,word,type,level
283,flower-arranging,flower arranging,noun,c1
284,footpath,footpath,noun,c1
285,gardening,gardening,noun,b1
286,gastronomy,gastronomy,noun,c2
287,glass-blowing,glass-blowing,noun,c2
288,hack_1,hack,verb,c2
289,handcraft,handcraft,noun,c2
290,handicraft,handicraft,noun,c2
291,hide_2,hide,noun,c2
292,hike_1,hike,noun,a2
293,hike_2,hike,verb,a2
294,hiking,hiking,noun,a2
295,hillwalking,hillwalking,noun,b2
296,hobby,hobby,noun,a1
297,horology,horology,noun,c2
298,horseback-riding,horseback riding,noun,b1
299,horse-riding,horse riding,noun,b1
300,interest_1,interest,noun,a1
301,jog_1,jog,verb,a2
302,jogger,jogger,noun,b1
303,jogging,jogging,noun,a2
304,knit_1,knit,verb,c1
305,knitting,knitting,noun,c1
306,leisure,leisure,noun,b1
307,magnetic-compass,magnetic compass,noun,c1
308,modelling,modelling,noun,c2
309,mountain-bike,mountain bike,noun,b2
310,mountain-biking,mountain biking,noun,b2
311,music,music,noun,a1
312,national-park,national park,noun,b1
313,nature-reserve,nature reserve,noun,c1
314,needlecraft,needlecraft,noun,c2
315,oil-painting,oil painting,noun,c1
316,orienteering,orienteering,noun,c2
317,origami,origami,noun,c2
318,paddle_2,paddle,verb,b2
319,painting,painting,noun,a1
320,palmistry,palmistry,noun,c2
321,pastiche,pastiche,noun,c2
322,pastime,pastime,noun,c1
323,photography,photography,noun,b1
324,poetics,poetics,noun,c2
325,poetry,poetry,noun,b1
326,pony-trekking,pony-trekking,noun,c2
327,portraiture,portraiture,noun,c2
328,pottery,pottery,noun,c1
329,ramble_1,ramble,verb,c2
330,ramble_2,ramble,noun,c2
331,rambling_2,rambling,noun,c2
332,reading_1,reading,noun,a1
333,relax,relax,verb,a1
334,reserve_1,reserve,noun,b2
335,riding,riding,noun,b1
336,right-of-way,right of way,noun,c2
337,roam,roam,verb,c2
338,rollerbladetm,Rollerblade™,noun,c2
339,roller-skate_2,roller skate,noun,c2
340,safari-park,safari park,noun,c1
341,sculpture,sculpture,noun,b1
342,sew,sew,verb,c1
343,sewing,sewing,noun,c1
344,shopping,shopping,noun,a1
345,skateboarding,skateboarding,noun,b1
346,snorkel_1,snorkel,noun,c1
347,snorkel_2,snorkel,verb,c1
348,spare_1,spare,adjective,b2
349,stamp-collecting,stamp collecting,noun,b1
350,sudoku,sudoku,noun,c1
351,tapestry,tapestry,noun,c2
352,taxidermy,taxidermy,noun,c2
353,topiary,topiary,noun,c2
354,track_1,track,noun,b1
355,trail_1,trail,noun,c1
356,wade,wade,verb,c1
357,walking_1,walking,noun,a2
358,wander_1,wander,verb,b2
359,woodwork,woodwork,noun,c2
360,word-search,word search,noun,c1
361,writing,writing,noun,a1
362,yoga,yoga,noun,a2
363,zoo,zoo,noun,a2
364,zumbatm,Zumba™,noun,c2
365,accessory_1,accessory,noun,c1
366,account_1,account,noun,b2
367,afford,afford,verb,b1
368,aisle,aisle,noun,b2
369,antique_2,antique,noun,b2
370,appliance,appliance,noun,b2
371,article,article,noun,b2
372,assistant_1,assistant,noun,a2
373,back-order_1,back order,noun,c2
374,back-order_2,back-order,verb,c2
375,bag_1,bag,noun,a1
376,baker,baker,noun,b1
377,bakery,bakery,noun,b2
378,bakeshop,bakeshop,noun,b2
379,banknote,banknote,noun,a1
380,barber,barber,noun,b2
381,barcode,barcode,noun,c1
382,bargain_1,bargain,noun,b2
383,bargain_2,bargain,verb,c1
384,bargain-basement,bargain basement,noun,c2
385,barter_1,barter,noun,c1
386,barter_2,barter,verb,c1
387,basket,basket,noun,b2
388,steal_2,be a steal,idiom,c2
389,bedding,bedding,noun,c2
390,be-sold-out,be sold out,phrasal verb,b2
391,betting-shop,betting shop,noun,c2
392,bid1_1,bid,noun,b2
393,bid1_2,bid,verb,b2
394,bill_1,bill,noun,a1
395,billing,billing,noun,c2
396,bogof,BOGOF,abbreviation,c2
397,book_1,book,noun,a1
398,bookie,bookie,noun,c2
399,bookmaking,bookmaking,noun,c2
400,bookshop,bookshop,noun,a2
401,bookstall,bookstall,noun,c1
402,boutique_1,boutique,noun,c1
403,browse_2,browse,verb,c1
404,business,business,noun,c1
405,butcher_1,butcher,noun,b2
406,buy_1,buy,verb,a1
407,buyer,buyer,noun,b1
408,carrier-bag,carrier bag,noun,c2
409,cash_1,cash,noun,a2
410,cash-and-carry,cash and carry,noun,c2
411,cashback,cashback,noun,c1
412,cash-desk,cash desk,noun,c2
413,cashier_1,cashier,noun,b2
414,cash-register,cash register,noun,c1
415,cctv,CCTV,abbreviation,c1
416,center_1,center,noun,a1
417,centre_1,centre,noun,a1
418,chain_1,chain,noun,b1
419,chain-store,chain store,noun,c1
420,change_2,change,noun,b1
421,charge_2,charge,verb,b1
422,cheap_1,cheap,adjective,a1
423,check-card,check card,noun,c2
424,checkout,checkout,noun,b2
425,chemist,chemist,noun,a2
426,cheque,cheque,noun,b1
427,cleaner,cleaner,noun,b2
428,clerk_1,clerk,noun,b2
429,click-and-collect,click and collect,noun,c1
430,close1_1,close,verb,a1
431,clothing,clothing,noun,a2
432,coin_1,coin,noun,b1
433,comparison-shop,comparison-shop,verb,c1
434,comparison-shopping,comparison shopping,noun,c1
435,comparison-site,comparison site,noun,c1
436,condition_1,condition,noun,a2
437,confectioner,confectioner,noun,c2
438,convenience-store,convenience store,noun,b2
439,cookware,cookware,noun,c2
440,corner-shop,corner shop,noun,b2
441,cosmetic_1,cosmetic,noun,b2
442,cost_2,cost,verb,a1
443,counter_1,counter,noun,b2
444,couponing,couponing,noun,c2
445,craft_1,craft,noun,b2
446,credit_1,credit,noun,a2
447,credit-card,credit card,noun,a2
448,credit-note,credit note,noun,c2
449,crockery,crockery,noun,c2
450,currency,currency,noun,b1
451,customer,customer,noun,a1
452,cutlery,cutlery,noun,c1
453,debit-card,debit card,noun,c1
454,debt,debt,noun,b2
455,deli,deli,noun,c1
456,delicatessen,delicatessen,noun,c1
457,deliver,deliver,verb,b1
458,delivery,delivery,noun,b2
459,denomination,denomination,noun,c2
460,department,department,noun,a2
461,department-store,department store,noun,b1
462,discount_1,discount,noun,b1
463,discount_2,discount,verb,b2
464,display_2,display,noun,b2
465,display-bin,display bin,noun,c2
466,dot-com,dot-com,noun,c2
467,download_1,download,verb,a2
468,downtown_1,downtown,adverb,b2
469,downtown_2,downtown,adjective,b2
470,downtown_3,downtown,noun,b2
471,draper,draper,noun,c2
472,dressing-room,dressing room,noun,c2
473,drugstore,drugstore,noun,b2
474,dry-cleaner-s,dry-cleaner’s,noun,c2
475,dummy_1,dummy,noun,c2
476,dump-bin,dump bin,noun,c2
477,duty-free_1,duty-free,adjective,c1
478,duty-free_2,duty-free,noun,c1
479,duty-free_3,duty-free,adverb,c1
480,e-cash,e-cash,noun,c2
481,electrical,electrical,adjective,a2
482,escalator,escalator,noun,c1
483,estate-agent,estate agent,noun,b2
484,e-tailing,e-tailing,noun,c2
485,expensive,expensive,adjective,a1
486,fabric,fabric,noun,b2
487,factory-shop,factory shop,noun,c1
488,farmers-market,farmers’ market,noun,b2
489,farm-shop,farm shop,noun,b2
490,fishmonger,fishmonger,noun,c2
491,fitting-room,fitting room,noun,c2
492,florist,florist,noun,c1
493,food-hall,food hall,noun,c1
494,fragrance,fragrance,noun,c1
495,free_1,free,adjective,a2
496,furnishings,furnishings,noun,c2
497,furniture,furniture,noun,a2
498,gadget,gadget,noun,b1
499,game_1,game,noun,a1
500,garden-centre,garden centre,noun,c1
501,gift_1,gift,noun,a2
502,gift-card,gift card,noun,c1
503,gift-certificate,gift certificate,noun,c2
504,glassware,glassware,noun,c2
505,goods,goods,noun,b1
506,greengrocer,greengrocer,noun,b2
507,grocer,grocer,noun,c1
508,grocery_1,grocery,noun,b2
509,haberdashery,haberdashery,noun,c2
510,haggle,haggle,verb,c2
511,hairdresser,hairdresser,noun,a2
512,hardware,hardware,noun,c1
513,health-food,health food,noun,b2
514,helpful,helpful,adjective,a2
515,high-street,high street,noun,b1
516,hypermarket,hypermarket,noun,c2
517,impulse-buy,impulse buy,noun,c2
518,impulse-buying,impulse buying,noun,c2
519,internet,internet,noun,a1
520,ironmonger,ironmonger,noun,c2
521,item,item,noun,a2
522,jeweller,jeweller,noun,b2
523,jewellery,jewellery,noun,a2
524,kiosk,kiosk,noun,c1
525,knock-off_2,knock-off,noun,c2
526,launderette,launderette,noun,c2
527,linen,linen,noun,c1
528,liquor-store,liquor store,noun,c2
529,list_1,list,noun,a1
530,loyalty-card,loyalty card,noun,c1
531,luggage,luggage,noun,a2
532,main-street,main street,noun,b1
533,mall_1,mall,noun,b1
534,mall-rat,mall rat,noun,c2
535,manager,manager,noun,a2
536,mannequin,mannequin,noun,c2
537,market_1,market,noun,a1
538,markup,markup,noun,c2
539,megastore,megastore,noun,c2
540,music,music,noun,a1
541,mystery-shopper,mystery shopper,noun,c2
542,mystery-shopping,mystery shopping,noun,c2
543,newsagent,newsagent,noun,b2
544,note_1,note,noun,b1
545,offer_2,offer,noun,a2
546,off-licence,off-licence,noun,c2
547,peg_1,off the peg,idiom,c2
548,online_1,online,adjective,a1
549,sale,on sale,idiom,c1
550,optician,optician,noun,c1
551,order_1,order,noun,b1
552,order_2,order,verb,a2
553,outlet,outlet,noun,c1
554,counter_1,over the counter,idiom,c2
555,package-store,package store,noun,c2
556,packaging,packaging,noun,b1
557,p-and-h,p. and h.,abbreviation,c2
558,p-and-p,p. and p.,abbreviation,c2
559,panic-buying,panic buying,noun,c1
560,paper-shop,paper shop,noun,c2
561,password,password,noun,b2
562,pay_1,pay,verb,a1
563,payment,payment,noun,b1
564,pedestrian-precinct,pedestrian precinct,noun,c2
565,perfume_1,perfume,noun,b2
566,pharmacist,pharmacist,noun,c1
567,pharmacy,pharmacy,noun,b2
568,plaza,plaza,noun,c2
569,portal,portal,noun,c2
570,postage,postage,noun,c1
571,precinct,precinct,noun,c2
572,pre-order_1,pre-order,noun,c1
573,pre-order_2,pre-order,verb,c1
574,price_1,price,noun,a1
575,price-tag,price tag,noun,c1
576,product,product,noun,a1
577,profit-margin,profit margin,noun,b2
578,promotion,promotion,noun,c1
579,purchase_1,purchase,verb,b2
580,purchase_2,purchase,noun,b2
581,queue_1,queue,noun,b1
582,queue_2,queue,verb,b1
583,rack_1,rack,noun,c1
584,range_1,range,noun,b2
585,rate_1,rate,noun,b1
586,receipt,receipt,noun,b1
