subLink,word,type,level
288,book_2,book,verb,a2
289,bulkhead,bulkhead,noun,c2
290,bump_1,bump,verb,c2
291,business-class_1,business class,noun,b1
292,business-class_2,business class,adverb,b1
293,cabin,cabin,noun,b2
294,cabin-crew,cabin crew,noun,b2
295,canopy,canopy,noun,c2
296,captain_1,captain,noun,b1
297,cargo,cargo,noun,c1
298,carousel,carousel,noun,c2
299,carry-on_2,carry-on,noun,b2
300,catch_1,catch,verb,a2
301,change_1,change,verb,a2
302,charter_1,charter,noun,c2
303,charter_2,charter,verb,c2
304,charter-flight,charter flight,noun,c2
305,check-in_2,check-in,noun,b1
306,check-in_1,check in,phrasal verb,a2
307,class_1,class,noun,b1
308,clearance,clearance,noun,c2
309,club-class,club class,noun,c2
310,coach_1,coach,noun,c2
311,cockpit,cockpit,noun,c1
312,code-sharing,code-sharing,noun,c2
313,concourse,concourse,noun,c2
314,connection,connection,noun,b2
315,contrail,contrail,noun,c2
316,control-tower,control tower,noun,c1
317,conveyor-belt,conveyor belt,noun,c2
318,co-pilot,co-pilot,noun,c1
319,copter,copter,noun,c2
320,cowling,cowling,noun,c2
321,crash-dive,crash-dive,verb,c2
322,crash-land,crash-land,verb,c1
323,crash-landing,crash landing,noun,c1
324,customs,customs,noun,c2
325,deep-vein-thrombosis,deep vein thrombosis,noun,c2
326,delta-wing,delta wing,noun,c2
327,departure,departure,noun,b1
328,deplane,deplane,verb,c2
329,descent,descent,noun,c1
330,disembark,disembark,verb,c2
331,disembarkation,disembarkation,noun,c2
332,distress_1,distress,noun,c1
333,ditch_2,ditch,verb,c2
334,dive_1,dive,verb,b2
335,dive_2,dive,noun,b2
336,domestic_1,domestic,adjective,b2
337,drone_1,drone,noun,c2
338,dual-controls,dual controls,noun,c2
339,duty-free-shop,duty-free shop,noun,c2
340,economy-class-syndrome,economy class syndrome,noun,c2
341,ejector-seat,ejector seat,noun,c2
342,elevator,elevator,noun,c2
343,engineer_1,engineer,noun,b1
344,eta_2,ETA,abbreviation,c2
345,etd,ETD,abbreviation,c2
346,e-ticket,e-ticket,noun,b2
347,excess-baggage,excess baggage,noun,c1
348,fare_1,fare,noun,b2
349,fighter,fighter,noun,c1
350,fin,fin,noun,c2
351,first-class_3,first-class,adjective,b1
352,first-class_2,first class,noun,b1
353,first-class_1,first class,adverb,b1
354,flap_1,flap,noun,c2
355,flier,flier,noun,b2
356,flight_1,flight,noun,a1
357,flight-attendant,flight attendant,noun,b1
358,flight-crew,flight crew,noun,b2
359,flight-deck,flight deck,noun,c2
360,flight-path,flight path,noun,c1
361,flight-recorder,flight recorder,noun,c2
362,fly_1,fly,verb,a1
363,flyer,flyer,noun,b2
364,flying-boat,flying boat,noun,c2
365,forced-landing,forced landing,noun,c1
366,frequent-flyer,frequent flyer,noun,b2
367,fuselage,fuselage,noun,c2
368,galley,galley,noun,c2
369,gangway,gangway,noun,c2
370,gate,gate,noun,a2
371,glide_1,glide,verb,c1
372,glider,glider,noun,c2
373,go-around_2,go-around,noun,c2
374,go-round_2,go-round,noun,c2
375,ground-crew,ground crew,noun,c2
376,gyroscope,gyroscope,noun,c2
377,hand-baggage,hand baggage,noun,b1
378,hand-luggage,hand luggage,noun,b1
379,hangar,hangar,noun,c2
380,hang-glider,hang-glider,noun,c2
381,hatch_2,hatch,noun,c2
382,hatchway,hatchway,noun,c2
383,helicopter,helicopter,noun,b1
