subLink,word,type,level
300,foreboding_1,foreboding,noun,c2
301,foreboding_2,foreboding,adjective,c2
302,forewarn,forewarned is forearmed,idiom,c2
303,fear_1,for fear of something/of doing something,idiom,c1
304,frankenstein,Frankenstein,noun,c2
305,gamble_1,gamble,verb,c1
306,gamble_2,gamble,noun,c1
307,gamble-on,gamble on,phrasal verb,c2
308,gamble-on-doing,gamble on doing,phrasal verb,c2
309,gambler,gambler,noun,c1
310,game_3,game,adjective,c2
311,help_1,God/Heaven help somebody,idiom,c2
312,guard_1,guard,noun,b2
313,guard_2,guard,verb,b1
314,hairy,hairy,adjective,c2
315,hang_1,hang by a hair/thread,idiom,c2
316,harmless,harmless,adjective,b2
317,harmlessly,harmlessly,adverb,b2
318,hazard_1,hazard,noun,c1
319,hazard_2,hazard,verb,c2
320,hazardous,hazardous,adjective,c1
321,help_2,help,noun,a1
322,high-risk,high-risk,adjective,b2
323,hold-on,hold on,phrasal verb,c2
324,hold-out,hold out,phrasal verb,c2
325,hot_1,hot,adjective,c2
326,worst_3,if the worst comes to the worst,idiom,c2
327,imperil,imperil,verb,c2
328,corner_1,in a (tight) corner/spot,idiom,c2
329,tight_1,in a (tight) spot,idiom,c2
330,spot_1,in a (tight) spot/corner,idiom,c2
331,jeopardy_1,in jeopardy,idiom,c2
332,insane,insane,adjective,c2
333,insanity,insanity,noun,c2
334,face_1,in the face of something,idiom,c1
335,jungle,jungle,noun,c2
336,lamb_1,(like) a lamb/lambs to the slaughter,idiom,c2
337,tell,"live, etc. to tell the tale",idiom,c2
338,leap_1,look before you leap,idiom,c2
339,look-out,look out,phrasal verb,b1
340,low-risk,low-risk,adjective,b2
341,lunatic_1,lunatic,noun,c2
342,lurk_1,lurk,verb,c2
343,madcap,madcap,adjective,c2
344,madness,madness,noun,c1
345,maniac_1,maniac,adjective,c2
346,maniac_2,maniac,noun,c2
347,menace_1,menace,noun,c1
348,menace_2,menace,verb,c2
349,menacing,menacing,adjective,c2
350,mind_2,mind,verb,b1
351,mind-out,mind out,phrasal verb,c2
352,minefield,minefield,noun,c2
353,nasty,nasty,adjective,b2
354,venture_2,"nothing ventured, nothing gained",idiom,c2
355,guard_1,off (your) guard,idiom,c2
356,parlous,parlous,adjective,c2
357,peril,peril,noun,c2
358,perilous,perilous,adjective,c2
359,perilously,perilously,adverb,c2
360,pitfall,pitfall,noun,c2
