subLink,word,type,level
385,easily,easily,adverb,c1
386,ensure,ensure,verb,b2
387,expect,expect,verb,b2
388,expected,expected,adjective,b1
389,feel_1,feel (it) in your bones (that…),idiom,c2
390,finger_1,finger in the air,idiom,c2
391,forecast_1,forecast,noun,b2
392,forecast_2,forecast,verb,b2
393,one_1,get something in one,idiom,c2
394,straight_2,get something straight,idiom,c2
395,giveaway_1,giveaway,noun,c2
396,guarantee_1,guarantee,verb,b2
397,guarantee_2,guarantee,noun,b2
398,guarantor,guarantor,noun,c2
399,guess_1,guess,verb,a1
400,guess_2,guess,noun,a1
401,guessing-game,guessing game,noun,b2
402,guesstimate,guesstimate,noun,c2
403,guesswork,guesswork,noun,c1
404,guestimate,guestimate,noun,c2
405,halting,halting,adjective,c2
406,haltingly,haltingly,adverb,c2
407,mind_1,have a good mind to do something,idiom,c2
408,pocket_1,have something in your pocket,idiom,c2
409,hazard_2,hazard,verb,c2
410,hesitate,hesitate,verb,b2
411,hesitation,hesitation,noun,c1
412,mark_2,hit/miss the mark,idiom,c2
413,hot_1,hot,adjective,c2
414,hypothesis,hypothesis,noun,c1
415,dare_1,I dare say,idiom,c2
416,if_2,if,noun,c2
417,iffy,iffy,adjective,c2
418,warrant_2,I/I’ll warrant (you),idiom,c2
419,imagine,imagine,verb,b1
420,impossible,impossible,adjective,a2
421,inconclusive,inconclusive,adjective,c1
422,inevitable,inevitable,noun,b2
423,inevitably,inevitably,adverb,b2
424,early_1,it’s early days (yet),idiom,c2
425,matter_1,it’s just/only a matter of time (before…),idiom,c1
426,bound_1,I’ll be bound,idiom,c2
427,judge_2,judge,verb,b1
428,know_1,know,verb,a1
429,lend,lend colour to something,idiom,c2
430,dust_1,let the dust settle,idiom,c2
431,likely_1,likely,adjective,a2
432,look_1,look,verb,b1
433,certain_1,make certain of something/of doing something,idiom,c1
434,sure_1,make sure (of something/that…),idiom,a2
435,may_1,may,modal verb,a2
436,maybe_1,maybe,adverb,a1
437,might_1,might,modal verb,a2
438,nailed-on,nailed on,adjective,c2
439,doubt_1,no doubt,idiom,b2
440,notional,notional,adjective,c2
441,necessarily,not necessarily,idiom,b1
442,top_1,off the top of your head,idiom,c2
443,spec_1,on spec,idiom,c2
444,or_1,or somebody/something/somewhere,idiom,b1
445,what,or what,idiom,c1
446,ought-to,ought to,modal verb,b2
447,outlook,outlook,noun,c1
448,paradox,paradox,noun,c1
449,paradoxical,paradoxical,adjective,c1
450,perhaps,perhaps,adverb,a2
451,positive_1,positive,adjective,b2
452,possibility,possibility,noun,a2
453,possible_1,possible,adjective,a1
454,possibly,possibly,adverb,b1
455,predict,predict,verb,a2
456,prediction,prediction,noun,b1
457,presumably,presumably,adverb,c1
458,presumption,presumption,noun,c2
459,probabilistic,probabilistic,adjective,c2
460,probability,probability,noun,b2
461,probable_1,probable,adjective,b2
462,probably,probably,adverb,a1
463,straight_2,put/set somebody straight (about/on something),idiom,c2
464,two,put two and two together,idiom,c2
465,money,put your money on somebody/something,idiom,c2
466,racing-certainty,racing certainty,noun,c2
467,read_1,read,verb,b2
468,red-hot,red-hot,adjective,c2
469,reputed,reputed,adjective,c2
470,reputedly,reputedly,adverb,c2
471,robust,robust,adjective,c1
472,robustly,robustly,adverb,c1
473,robustness,robustness,noun,c1
474,second-guess,second-guess,verb,c2
475,set_3,set,adjective,c1
476,shake_1,shake,verb,c2
477,shaky,shaky,adjective,c2
478,should,should,modal verb,b2
479,slam-dunk_1,slam dunk,noun,c2
480,somehow,somehow,adverb,b2
481,someway,someway,adverb,c2
482,speculate,speculate,verb,b2
483,speculation,speculation,noun,b2
484,speculative,speculative,adjective,c1
485,speculatively,speculatively,adverb,c1
486,chance_1,stand a chance (of doing something),idiom,c1
487,supposedly,supposedly,adverb,c1
488,sure_1,sure,adjective,b1
489,sure-fire,sure-fire,adjective,c2
490,surely,surely,adverb,b1
491,surmise_1,surmise,verb,c2
492,surmise_2,surmise,noun,c2
493,suspect_1,suspect,verb,b2
494,suspected,suspected,adjective,c1
495,swear-by,swear by,phrasal verb,c2
496,grant_1,take it for granted (that…),idiom,c2
497,ten,ten out of ten (for something),idiom,b2
498,tentative,tentative,adjective,c1
499,tentatively,tentatively,adverb,c1
500,ten,ten to one,idiom,c2
501,depend,that depends,idiom,a2
502,jury,the jury is (still) out on something,idiom,c2
503,way_1,(there are) no two ways about it,idiom,c2
504,way_1,(there is) no way,idiom,a2
505,question_1,there is/was no question of something happening/of somebody doing something,idiom,c1
506,slip_2,there’s many a slip ’twixt cup and lip,idiom,c2
507,thumbsuck,thumbsuck,noun,c2
508,toss_1,toss,verb,c1
509,true_1,true,adjective,a1
510,truth,truth,noun,b1
511,uncertain,uncertain,adjective,b1
512,uncertainty,uncertainty,noun,c1
513,unclear,unclear,adjective,b1
514,unconvinced,unconvinced,adjective,b2
515,undeniable,undeniable,adjective,c1
516,undeniably,undeniably,adverb,c1
517,underestimate_1,underestimate,verb,c1
518,unlikely,unlikely,adjective,b1
519,unsure,unsure,adjective,b1
520,warm_1,warm,adjective,c2
521,weaken,weaken,verb,c1
522,well_1,well,adverb,c1
523,will_3,will,modal verb,b1
524,doubt_1,without/beyond (a) doubt,idiom,c1
525,would,would,modal verb,b2
526,bet_1,you bet!,idiom,b2
527,bet_1,you can bet your life/your bottom dollar (on something/(that)…),idiom,c2
528,life_1,you can bet your life/your bottom dollar (on something/(that)…),idiom,c2
529,tell,you can never tell,idiom,c1
530,know_1,you never know,idiom,b2
531,lucky,you’ll be lucky,idiom,c1
532,bone_1,a bone of contention,idiom,c2
533,about-turn,about-turn,noun,c2
534,absolutely,absolutely,adverb,b1
535,according-to,according to,preposition,a2
536,accord-with,accord with,phrasal verb,c2
537,account_2,account,verb,b2
538,chink_1,a chink in somebody’s armour,idiom,c2
539,ad-hominem,ad hominem,adjective,c2
540,adversary,adversary,noun,c2
541,advice,advice,noun,a1
542,advise,advise,verb,b1
543,advocate_2,advocate,verb,c1
544,affirmative_1,affirmative,adjective,c1
545,affirmative_2,affirmative,noun,c1
546,affirmatively,affirmatively,adverb,c1
547,again,again,adverb,c1
548,against,against,preposition,a2
549,agnostic_2,agnostic,adjective,c2
550,agree,agree,verb,a1
551,ah_1,ah,exclamation,a2
552,air_2,air,verb,c2
553,airing,airing,noun,c2
554,align-yourself-with,align yourself with,phrasal verb,c2
555,link_1,a link in the chain,idiom,c2
556,hell,all hell broke loose,idiom,c2
557,all-right_1,all right,exclamation,a2
558,alright_1,alright,exclamation,a2
559,altercation,altercation,noun,c2
560,heart_1,a man/woman after your own heart,idiom,c2
561,ammunition,ammunition,noun,c2
562,moot_1,a moot point/question,idiom,c2
563,anodyne,anodyne,adjective,c2
564,answer-for,answer for,phrasal verb,c2
565,anti_1,anti,preposition,c1
566,anyway,anyway,adverb,a2
567,apologia,apologia,noun,c2
568,aporia,aporia,noun,c2
569,appraise,appraise,verb,c1
570,approbation,approbation,noun,c2
571,approval,approval,noun,b2
572,approve,approve,verb,b2
573,arguable,arguable,adjective,c1
574,arguably,arguably,adverb,c1
575,argue,argue,verb,a2
576,argue,argue the toss,idiom,c2
577,argue-with,argue with,phrasal verb,c2
578,argument,argument,noun,a2
579,argumentation,argumentation,noun,c2
580,argumentative,argumentative,adjective,c1
581,argy-bargy,argy-bargy,noun,c2
582,beat_1,a rod/stick to beat somebody with,idiom,c2
583,matter_1,as a matter of fact,idiom,c1
584,assent_1,assent,noun,c2
585,assent_2,assent,verb,c2
586,assert,assert,verb,c1
587,assertion,assertion,noun,c1
588,assertive,assertive,adjective,c1
589,assertively,assertively,adverb,c1
590,assess,assess,verb,b2
591,assessment,assessment,noun,b2
592,associate_1,associate,verb,c2
593,far_1,as/so far as I am concerned,idiom,b2
594,far_1,as/so far as somebody/something is concerned,idiom,c1
595,best_3,at best,idiom,c2
596,athwart,athwart,preposition,c2
597,loggerheads,at loggerheads (with somebody) (over something),idiom,c2
598,time_1,at the same time,idiom,c1
599,attitude,attitude,noun,b1
600,variance,at variance (with somebody/something),idiom,c2
601,avow,avow,verb,c2
602,avowal,avowal,noun,c2
603,avowed,avowed,adjective,c2
604,war,a war of words,idiom,c2
605,back-pedal,back-pedal,verb,c2
606,backtrack,backtrack,verb,c2
607,feeling,bad/ill feeling,idiom,c2
608,badly,badly,adverb,b1
609,balls_1,balls,exclamation,c2
610,bandy_2,bandy words (with somebody),idiom,c2
611,head_1,bang/knock your/their heads together,idiom,c2
612,barney,barney,noun,c2
613,basically,basically,adverb,b2
614,battle_1,battle,noun,b1
615,battleground,battleground,noun,c2
616,ask_1,be asking for trouble,idiom,c2
617,throat,be at each other’s throats,idiom,c2
618,odds,be at odds (with somebody) (over/on something),idiom,c2
619,moment,be having a moment,idiom,c2
620,minority,be in a minority of one,idiom,c2
621,tune_1,be in/out of tune (with somebody/something),idiom,c2
622,belabour,belabour the point,idiom,c2
623,belief,belief,noun,b1
624,believe,believe,verb,a1
625,bellicose,bellicose,adjective,c2
626,bellicosity,bellicosity,noun,c2
627,mind_1,be of one/the same mind (about somebody/something),idiom,c2
628,opinion,be of the opinion that…,idiom,c1
629,collision,be on a collision course (with somebody/something),idiom,c2
630,ground_1,be on firm/solid ground,idiom,c2
631,side_1,be on somebody’s side,idiom,c2
632,way_1,be set in your ways,idiom,c2
633,bet_1,bet,verb,b2
634,bet_2,bet,noun,b2
635,world,be worlds apart,idiom,c2
636,bias_1,bias,noun,b2
637,bias_2,bias,verb,c1
