word,sound
495,turtle,turtle__gb_2.mp3
496,tusk,tusk__gb_1.mp3
497,udder,udder__gb_1.mp3
498,underbelly,underbelly__gb_1.mp3
499,vampire bat,vampire_bat_1_gb_1.mp3
500,venom,venom__gb_1.mp3
501,vermin,vermin__gb_1.mp3
502,viper,viper__gb_1.mp3
503,vixen,vixen__gb_1.mp3
504,vole,vole__gb_1.mp3
505,walk,walk__gb_1.mp3
506,wallaby,wallaby__gb_1.mp3
507,walrus,walrus__gb_1.mp3
508,warm-blooded,warm_blooded_1_gb_1.mp3
509,warthog,warthog__gb_1.mp3
510,waterbuck,waterbuck__gb_1.mp3
511,water buffalo,water_buffalo_1_gb_1.mp3
512,water moccasin,water_moccasin_1_gb_1.mp3
513,water rat,water_rat_1_gb_1.mp3
514,water vole,water_vole_1_gb_1.mp3
515,weasel,weasel__gb_1.mp3
516,whale,whale__gb_2.mp3
517,whimper,whimper__gb_1.mp3
518,whimper,whimper__gb_1.mp3
519,whippet,whippet__gb_1.mp3
520,whisker,whisker__gb_1.mp3
521,wild,wild__gb_2.mp3
522,wild boar,wild_boar_1_gb_1.mp3
523,wildcat,wildcat__gb_1.mp3
524,wildlife,wildlife__gb_1.mp3
525,withers,withers__gb_1.mp3
526,wolf,wolf__gb_1.mp3
527,wolfhound,wolfhound__gb_1.mp3
528,wolverine,wolverine__gb_1.mp3
529,wombat,wombat__gb_1.mp3
530,woodchuck,woodchuck__gb_1.mp3
531,woof,woof__gb_1.mp3
532,woof,woof__gb_1.mp3
533,woof,woof__gb_1.mp3
534,wool,wool__gb_1.mp3
535,yak,yak__gb_1.mp3
536,Yorkshire terrier,yorkshire_terrier_1_gb_1.mp3
537,zebra,zebra__gb_1.mp3
538,zebu,zebu__gb_1.mp3
539,albatross,albatross__gb_1.mp3
540,Arctic tern,arctic_tern_1_gb_1.mp3
541,aviary,aviary__gb_1.mp3
542,avocet,avocet__gb_1.mp3
543,bald eagle,bald_eagle_1_gb_1.mp3
544,bantam,bantam__gb_2.mp3
545,barn owl,barn_owl_1_gb_1.mp3
546,beak,beak__gb_2.mp3
547,bill,bill__gb_3.mp3
548,bird,bird__gb_2.mp3
549,bird of paradise,bird_of_paradise_1_gb_1.mp3
550,bird of passage,bird_of_passage_1_gb_1.mp3
551,bird of prey,bird_of_prey_1_gb_1.mp3
552,blackbird,blackbird__gb_2.mp3
553,bluebird,bluebird__gb_3.mp3
554,blue crane,blue_crane_1_gb_1.mp3
555,bluejay,bluejay__gb_2.mp3
556,blue tit,blue_tit_1_gb_1.mp3
557,booby,booby__gb_2.mp3
558,bowerbird,bowerbird__gb_2.mp3
559,breast,breast__gb_1.mp3
560,breed,breed__gb_1.mp3
561,brood,brood__gb_1.mp3
562,budgerigar,budgerigar__gb_1.mp3
563,budgie,budgie__gb_2.mp3
564,bullfinch,bullfinch__gb_2.mp3
565,bustard,bustard__gb_2.mp3
566,buzzard,buzzard__gb_2.mp3
567,cage,cage__gb_3.mp3
568,call,call__gb_3.mp3
569,call,call__gb_3.mp3
570,Canada goose,canada_goose_1_gb_1.mp3
571,canary,canary__gb_1.mp3
572,capercaillie,capercaillie__gb_1.mp3
573,cardinal,cardinal__gb_1.mp3
574,carrier pigeon,carrier_pigeon_1_gb_1.mp3
575,carrion crow,carrion_crow_1_gb_1.mp3
576,cassowary,cassowary__gb_2.mp3
577,catbird,catbird__gb_1.mp3
578,chaffinch,chaffinch__gb_3.mp3
579,chick,chick__gb_6.mp3
580,chickadee,chickadee__gb_3.mp3
581,chicken,chicken__gb_3.mp3
582,chirp,chirp__gb_2.mp3
583,chough,chough__gb_2.mp3
584,claw,claw__gb_1.mp3
585,cluck,cluck__gb_1.mp3
586,clutch,clutch__gb_1.mp3
587,cock,cock__gb_1.mp3
588,cockatiel,cockatiel__gb_1.mp3
589,cockatoo,cockatoo__gb_1.mp3
590,cockerel,cockerel__gb_1.mp3
591,condor,xcondor__gb_1.mp3
592,coo,coup__gb_3.mp3
593,coop,coop__gb_1.mp3
594,coot,coot__gb_1.mp3
595,cormorant,cormorant__gb_1.mp3
596,corncrake,corncrake__gb_1.mp3
597,crane,crane__gb_1.mp3
598,craw,craw__gb_1.mp3
599,crest,crest__gb_1.mp3
600,crop,crop__gb_1.mp3
601,crow,crow__gb_2.mp3
602,cuckoo,cuckoo__gb_1.mp3
603,curlew,curlew__gb_1.mp3
604,cygnet,cygnet__gb_1.mp3
605,dipper,dipper__gb_2.mp3
606,dive,dive__gb_2.mp3
607,dove,dove__gb_2.mp3
608,down,down__gb_1.mp3
609,drake,drake__gb_2.mp3
610,drongo,drongo__gb_2.mp3
611,duck,duck__gb_2.mp3
612,duckling,duckling__gb_1.mp3
613,dunlin,dunlin__gb_1.mp3
614,dunnock,dunnock__gb_1.mp3
615,eagle,eagle__gb_1.mp3
616,eagle owl,eagle_owl_1_gb_1.mp3
617,eaglet,eaglet__gb_1.mp3
618,egg,egg__gb_3.mp3
619,egret,egret__gb_1.mp3
620,emperor penguin,emperor_penguin_1_gb_1.mp3
621,emu,emu__gb_2.mp3
622,falcon,falcon__gb_1.mp3
623,feather,feather__gb_1.mp3
624,finch,finch__gb_1.mp3
625,flamingo,flamingo__gb_1.mp3
626,flight,flight__gb_1.mp3
627,fly,fly__gb_1.mp3
628,flycatcher,flycatcher__gb_1.mp3
629,fowl,fowl__gb_1.mp3
630,frigate bird,frigate_bird_1_gb_1.mp3
631,fulmar,fulmar__gb_1.mp3
632,gaggle,gaggle__gb_2.mp3
633,game,game__gb_2.mp3
634,game bird,game_bird_1_gb_1.mp3
635,gander,gander__gb_1.mp3
636,gannet,gannet__gb_2.mp3
637,gizzard,gizzard__gb_2.mp3
638,gobbler,gobbler__gb_1.mp3
639,goldcrest,goldcrest__gb_1.mp3
640,golden eagle,golden_eagle_1_gb_1.mp3
641,goldfinch,goldfinch__gb_3.mp3
642,goose,goose__gb_2.mp3
643,goshawk,goshawk__gb_2.mp3
644,gosling,gosling__gb_2.mp3
645,grackle,grackle__gb_1.mp3
646,grebe,grebe__gb_1.mp3
647,grouse,grouse__gb_1.mp3
648,guillemot,guillemot__gb_2.mp3
649,guinea fowl,guinea_fowl_1_gb_2.mp3
650,gull,gull__gb_2.mp3
651,harrier,harrier__gb_1.mp3
