word,sound
246,bricolage,bricolage__gb_1.mp3
247,bullfight,bullfight__gb_2.mp3
248,calligraphy,calligraphy__gb_1.mp3
249,cartography,cartography__gb_1.mp3
250,ceramic,ceramic__gb_1.mp3
251,climb,climb__gb_2.mp3
252,climbing,climbing__gb_1.mp3
253,clubbing,clubbing__gb_1.mp3
254,collage,collage__gb_1.mp3
255,collector,collector__gb_1.mp3
256,community theater,community_theatre_1_gb_1.mp3
257,compass,compass__gb_1.mp3
258,cookery,cookery__gb_1.mp3
259,cooking,cooking__gb_1.mp3
260,cosplay,cosplay__gb_2.mp3
261,cosplay,cosplay__gb_2.mp3
262,cosplayer,cosplayer__gb_1.mp3
263,craft,craft__gb_1.mp3
264,craft,craft__gb_1.mp3
265,crochet,crochet__gb_1.mp3
266,cryptography,cryptography__gb_1.mp3
267,dance,dance__gb_1.mp3
268,dance,dance__gb_1.mp3
269,dancer,dancer__gb_1.mp3
270,dancing,dancing__gb_3.mp3
271,dive,dive__gb_2.mp3
272,drama,drama__gb_2.mp3
273,drawing,drawing__gb_3.mp3
274,embroider,embroider__gb_1.mp3
275,embroidery,embroidery__gb_1.mp3
276,engraving,engraving__gb_1.mp3
277,explore,explore__gb_1.mp3
278,fieldcraft,fieldcraft__gb_1.mp3
279,fish,fish__gb_3.mp3
280,fisherman,fisherman__gb_2.mp3
281,fishing,fishing__gb_3.mp3
282,fishing rod,fishing_rod_1_gb_1.mp3
283,flower arranging,flower_arranging_1_gb_1.mp3
284,footpath,footpath__gb_1.mp3
285,gardening,gardening__gb_5.mp3
286,gastronomy,gastronomy__gb_1.mp3
287,glass-blowing,glass_blowing_1_gb_1.mp3
288,hack,hack__gb_9.mp3
289,handcraft,handcraft__gb_1.mp3
290,handicraft,handicraft__gb_1.mp3
291,hide,hide__gb_1.mp3
292,hike,hike__gb_1.mp3
293,hike,hike__gb_1.mp3
294,hiking,hiking__gb_1.mp3
295,hillwalking,hillwalking__gb_1.mp3
296,hobby,hobby__gb_1.mp3
297,horology,horology__gb_1.mp3
298,horseback riding,horseback_riding_1_gb_1.mp3
299,horse riding,horse_riding_1_gb_1.mp3
300,interest,interest__gb_1.mp3
301,jog,jog__gb_1.mp3
302,jogger,jogger__gb_1.mp3
303,jogging,jogging__gb_1.mp3
304,knit,knit__gb_2.mp3
305,knitting,knitting__gb_3.mp3
306,leisure,leisure__gb_1.mp3
307,magnetic compass,magnetic_compass_1_gb_1.mp3
308,modelling,modelling__gb_1.mp3
309,mountain bike,mountain_bike_1_gb_1.mp3
310,mountain biking,mountain_biking_1_gb_1.mp3
311,music,music__gb_1.mp3
312,national park,national_park_1_gb_1.mp3
313,nature reserve,nature_reserve_1_gb_1.mp3
314,needlecraft,needlecraft__gb_1.mp3
315,oil painting,oil_painting_1_gb_1.mp3
316,orienteering,orienteering__gb_1.mp3
317,origami,origami__gb_1.mp3
318,paddle,paddle__gb_1.mp3
319,painting,painting__gb_1.mp3
320,palmistry,palmistry__gb_1.mp3
321,pastiche,pastiche__gb_1.mp3
322,pastime,pastime__gb_1.mp3
323,photography,photography__gb_1.mp3
324,poetics,poetics__gb_1.mp3
325,poetry,poetry__gb_1.mp3
326,pony-trekking,pony_trekking_1_gb_1.mp3
327,portraiture,portraiture__gb_1.mp3
328,pottery,pottery__gb_1.mp3
329,ramble,ramble__gb_1.mp3
330,ramble,ramble__gb_1.mp3
331,rambling,rambling__gb_1.mp3
332,reading,reading__gb_1.mp3
333,relax,relax__gb_1.mp3
334,reserve,reserve__gb_1.mp3
335,riding,riding__gb_4.mp3
336,right of way,right_of_way_1_gb_1.mp3
337,roam,roam__gb_1.mp3
338,Rollerblade™,rollerblade__gb_1.mp3
339,roller skate,roller_skate_1_gb_1.mp3
340,safari park,safari_park_1_gb_1.mp3
341,sculpture,sculpture__gb_1.mp3
342,sew,sew__gb_1.mp3
343,sewing,sewing__gb_1.mp3
344,shopping,shopping__gb_1.mp3
345,skateboarding,skateboarding__gb_1.mp3
346,snorkel,snorkel__gb_1.mp3
347,snorkel,snorkel__gb_1.mp3
348,spare,spare__gb_1.mp3
349,stamp collecting,stamp_collecting_1_gb_1.mp3
350,sudoku,sudoku__gb_1.mp3
351,tapestry,tapestry__gb_1.mp3
352,taxidermy,taxidermy__gb_1.mp3
353,topiary,topiary__gb_1.mp3
354,track,track__gb_1.mp3
355,trail,trail__gb_1.mp3
356,wade,wade__gb_1.mp3
357,walking,walking__gb_1.mp3
358,wander,wander__gb_1.mp3
359,woodwork,woodwork__gb_1.mp3
360,word search,wordsearch__gb_1.mp3
